,BACB requirements,Years certified,Years supervisor,Area of study - Selected Choice,Area of study - Other - Text,Job classification - Selected Choice,Job classification - Other - Text,Place of employment - Selected Choice,Place of employment - Other - Text,State,Supervision mode - Selected Choice,Supervision mode - Other - Text,Supervision format,Supervision training - Selected Choice,Supervision training - Other - Text,100% fieldwork candidates,100% fieldwork pass rate,Discontinued fieldwork,Supervision resources - Selected Choice,Supervision resources - Other - Text,Confirm required skill set,Number of candidates,Literature for new competency,Professional groups,Outside training area (yes/no),Credentialing requirements,Training and supervision,Allotted hours,Number of clients,60% fieldwork hours,Who dictates caseload,Supervise RBTs (yes/no),RBT supervision %,Peer evaluate,Past 12 months candidates,Supervision schedule,Scheduled hours,Practice skill set,Written supervision contract,Positive and corrective feedback,Supervision termination clause,Behavior skills training,Discourage distractions,Evaluate supervisee performance,Performance expectations,Written evaluation system,Supervision fieldwork protocol source - Selected Choice,Supervision fieldwork protocol source - Other - Text,Document feedback,Review supervision contract,Evaluate client performance,Return communications within 48,Supervision fidelity,Instructions and demonstration,Take baseline,Detect barriers to supervision,BST case presentation,Send agenda,Immediate feedback,Continue relationship,Observe body language,Schedule contacts,Maintain positive rapport,Self-assess interpersonal skills,Group supervision,Create group activities,Supervisory study groups,Include ethics,Arrive on time,Discuss how to give feedback,Schedule direct observations,Schedule standing appointments,Review literature,Meeting notes,Attend conferences,Peer review opportunity,Participate in peer review,Seek mentorship,Area of study,Job classification,Place of employment,Supervision mode,Supervision training,Supervision resources,Supervision fieldwork protocol source,PECC 5.01,PECC 5.02,PECC 5.03,PECC 5.04,PECC 5.05,PECC 5.06,PECC 5.07,MISC
28,Yes,0-2 years,0-2 years,Behavior analysis,,Behavior analyst,,Other,,South,"University,Individual private practice",,Group and Individual fieldwork,"Institution based course work,Internet based continuing education,Individual mentoring",,12.0,12.0,0.0,Supervision Curriculum,,5.0,4-7 candidates,5.0,5.0,Yes,5.0,4.0,6-10 hours a week,7-11 clients/consumer,2.0,Self,Yes,10% of patient's direct services,2.0,7-11 candidates,5.0,11-15 hours a week,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,"Graduate course work material,Mentorship,Online CEU training",,4.0,2.0,2.0,5.0,1.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,Yes,5.0,5.0,Behavior analysis,Behavior analyst,Other,"University,Individual private practice","Institution based course work,Internet based continuing education,Individual mentoring",Supervision Curriculum,"Graduate course work material,Mentorship,Online CEU training",4.0,4.25,5.0,4.6,3.4,4.833333333333333,2.25,4.153846153846154
29,Yes,>5 years,>5 years,Psychology,,Behavior analyst,,Home-based,,South,"Agency,Individual private practice",,Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,25.0,25.0,0.0,Training on supervision practices,,4.0,1-3 candidates,5.0,5.0,Yes,5.0,5.0,0 hours,I do not provide consultation to clients/consumers,5.0,I do not provide consultation to clients/consumers,No,I do not supervise RBTs.,2.0,1-3 candidates,5.0,1-5 hours a week,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Other,Literature and cooper text ,3.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,1.0,5.0,3.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,Yes,3.0,3.0,Psychology,Behavior analyst,Home-based,"Agency,Individual private practice","Internet based continuing education,Conferences or workshops,Individual mentoring",Training on supervision practices,OtherLiterature and cooper text,4.2,5.0,4.5,3.4,4.2,4.333333333333333,4.5,3.769230769230769
30,Yes,>5 years,>5 years,Behavior analysis,,Behavior analyst,,Other,,South,Agency,,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,7.0,6.0,0.0,"Protected office planning time,Administrative assistance,Training on supervision practices",,3.0,1-3 candidates,5.0,3.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,5.0,Employer,Yes,5% of patient's direct services,1.0,4-7 candidates,4.0,6-10 hours a week,4.0,5.0,5.0,5.0,3.0,4.0,2.0,5.0,3.0,"Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",,2.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,No,3.3248407643312103,3.0,Behavior analysis,Behavior analyst,Other,Agency,"Internet based continuing education,Conferences or workshops,Individual mentoring","Protected office planning time,Administrative assistance,Training on supervision practices","Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",3.793023255813954,4.75,3.5,3.6,4.8,3.8333333333333335,3.25,3.7817246447819697
31,Yes,>5 years,>5 years,Behavior analysis,,Behavior analyst,,Home-based,,South,"University,Individual private practice",,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops",,3.0,2.0,0.0,Monetary compensation,,5.0,1-3 candidates,5.0,1.0,Yes,5.0,5.0,0 hours,12+ clients/consumers,4.0,Self,Yes,15% of patient's direct services,1.0,1-3 candidates,5.0,6-10 hours a week,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,Published supervision curriculum,,3.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,1.0,1.0,5.0,5.0,4.0,5.0,5.0,3.0,2.0,4.0,Yes,4.0,3.0,Behavior analysis,Behavior analyst,Home-based,"University,Individual private practice","Internet based continuing education,Conferences or workshops",Monetary compensation,Published supervision curriculum,3.4,4.75,4.5,3.6,4.2,4.5,2.0,3.8076923076923075
32,Yes,3-5 years,3-5 years,Psychology,,Teacher,,Other,,Midwest,Individual private practice,,Group and Individual fieldwork,Internet based continuing education,,2.0,2.0,0.0,"Training on supervision practices,Monetary compensation",,5.0,1-3 candidates,5.0,3.0,No,4.441860465116279,4.523255813953488,0 hours,12+ clients/consumers,1.0,Employer,No,I do not supervise RBTs.,1.0,1-3 candidates,5.0,1-5 hours a week,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,"Graduate course work material,Other",literature,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,Yes,3.0,3.0,Psychology,Teacher,Other,Individual private practice,Internet based continuing education,"Training on supervision practices,Monetary compensation","Graduate course work material,Otherliterature",3.5930232558139537,4.0,4.5,4.2,4.6,4.333333333333333,4.25,3.8846153846153846
33,Yes,3-5 years,0-2 years,Psychology,,Professor,,University or college,,Northeast,"Agency,Individual private practice",,Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring",,3.0,3.0,0.0,"Protected office planning time,Training on supervision practices,Supervision Curriculum",,3.0,4-7 candidates,5.0,1.0,Yes,5.0,5.0,6-10 hours a week,I do not provide consultation to clients/consumers,5.0,I do not provide consultation to clients/consumers,No,I do not supervise RBTs.,4.0,4-7 candidates,5.0,11-15 hours a week,3.0,5.0,5.0,5.0,2.0,1.0,4.0,5.0,1.0,"Graduate course work material,Mentorship,Live CEU events,Online CEU training",,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes,5.0,5.0,Psychology,Professor,University or college,"Agency,Individual private practice","Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring","Protected office planning time,Training on supervision practices,Supervision Curriculum","Graduate course work material,Mentorship,Live CEU events,Online CEU training",3.8,5.0,3.0,2.8,5.0,4.166666666666667,4.75,4.153846153846154
34,Yes,0-2 years,0-2 years,Behavior analysis,,Behavior analyst,,Other,,Midwest,Agency,,Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring",,1.0,1.0,0.0,"Training on supervision practices,Performance feedback,Supervision Curriculum",,4.0,1-3 candidates,4.0,4.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,I do not provide consultation to clients/consumers,4.0,I do not provide consultation to clients/consumers,No,I do not supervise RBTs.,1.0,1-3 candidates,5.0,1-5 hours a week,4.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,2.0,"Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",,3.0,5.0,2.0,5.0,1.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,5.0,1.0,5.0,4.0,3.0,3.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,No,3.3248407643312103,3.0,Behavior analysis,Behavior analyst,Other,Agency,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring","Training on supervision practices,Performance feedback,Supervision Curriculum","Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",3.5930232558139537,3.5,4.0,3.8,4.4,3.6666666666666665,2.25,3.7432631063204314
35,Yes,>5 years,>5 years,Psychology,,Professor,,University or college,,Outside US,"University,Individual private practice",,Individual fieldwork,"Internet based continuing education,Conferences or workshops",,3.0,3.0,0.0,"Training on supervision practices,Monetary compensation,Supervision Curriculum",,3.0,1-3 candidates,5.0,3.0,No,4.441860465116279,4.523255813953488,0 hours,12+ clients/consumers,5.0,Self,No,I do not supervise RBTs.,2.0,4-7 candidates,5.0,1-5 hours a week,4.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,"Live CEU events,Published supervision curriculum",,4.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,4.0,1.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,3.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,Yes,5.0,3.0,Psychology,Professor,University or college,"University,Individual private practice","Internet based continuing education,Conferences or workshops","Training on supervision practices,Monetary compensation,Supervision Curriculum","Live CEU events,Published supervision curriculum",3.793023255813954,4.75,3.5,4.0,4.2,4.5,3.0,4.076923076923077
36,Yes,3-5 years,0-2 years,Behavior analysis,,Behavior analyst,,Other,,Northeast,Other,School district ,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops",,2.0,2.0,0.0,Performance feedback,,3.0,1-3 candidates,3.0,1.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,4-7 clients/consumers,4.0,Employer,Yes,5% of patient's direct services,3.0,1-3 candidates,5.0,1-5 hours a week,2.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,2.0,Mentorship,,2.0,5.0,1.0,5.0,1.0,3.0,5.0,4.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,No,3.3248407643312103,4.0,Behavior analysis,Behavior analyst,Other,OtherSchool district,"Internet based continuing education,Conferences or workshops",Performance feedback,Mentorship,2.7930232558139534,4.5,2.5,4.2,4.0,3.5,2.25,3.9355707986281234
37,Yes,>5 years,3-5 years,Counseling,,Behavior analyst,,Clinic,,South,"University,Individual private practice",,Group and Individual fieldwork,Internet based continuing education,,1.0,1.0,0.0,Administrative assistance,,3.0,4-7 candidates,4.0,2.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,4.0,Self,Yes,15% of patient's direct services,1.0,4-7 candidates,5.0,1-5 hours a week,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,3.0,"Graduate course work material,Mentorship",,3.0,5.0,3.0,5.0,3.0,5.0,1.0,5.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,Yes,4.0,3.0,Counseling,Behavior analyst,Clinic,"University,Individual private practice",Internet based continuing education,Administrative assistance,"Graduate course work material,Mentorship",3.1930232558139533,4.5,4.0,5.0,4.4,4.333333333333333,3.25,4.115384615384615
38,Yes,>5 years,>5 years,Behavior analysis,,Behavior analyst,,Other,,South,Individual private practice,,Individual fieldwork,"Internet based continuing education,Conferences or workshops",,20.0,20.0,0.0,Other,"self-employed, so no support except what I provide to myself!",4.0,4-7 candidates,5.0,5.0,No,4.441860465116279,4.523255813953488,6-10 hours a week,1-3 clients/consumers,5.0,Self,No,I do not supervise RBTs.,1.0,4-7 candidates,5.0,6-10 hours a week,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,"Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes,5.0,3.0,Behavior analysis,Behavior analyst,Other,Individual private practice,"Internet based continuing education,Conferences or workshops","Otherself-employed, so no support except what I provide to myself!","Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",3.9930232558139536,5.0,3.5,3.2,5.0,4.5,3.0,4.076923076923077
39,Yes,3-5 years,0-2 years,Other,,Behavior analyst,,Other,,Northeast,University,,Group and Individual fieldwork,Internet based continuing education,,3.0,1.0,0.0,"Administrative assistance,Training on supervision practices,Monetary compensation,Supervision Curriculum",,4.0,1-3 candidates,5.0,4.0,Yes,1.0,5.0,1-5 hours a week,12+ clients/consumers,4.0,Employer,Yes,20% of patient's direct services,2.0,4-7 candidates,5.0,1-5 hours a week,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,Graduate course work material,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,1.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,No,3.3248407643312103,5.0,Other,Behavior analyst,Other,University,Internet based continuing education,"Administrative assistance,Training on supervision practices,Monetary compensation,Supervision Curriculum",Graduate course work material,3.2,4.75,3.5,3.8,4.4,4.666666666666667,5.0,3.974032337089662
40,Yes,>5 years,>5 years,Education,,Behavior analyst,,Home-based,,Midwest,Individual private practice,,Group and Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring",,10.0,2.0,0.0,"Training on supervision practices,Performance feedback",,5.0,4-7 candidates,5.0,1.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,7-11 clients/consumer,5.0,Self,Yes,20% of patient's direct services,5.0,7-11 candidates,5.0,1-5 hours a week,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,No,3.3248407643312103,2.0,Education,Behavior analyst,Home-based,Individual private practice,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring","Training on supervision practices,Performance feedback","Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",3.1930232558139533,5.0,5.0,3.6,4.2,5.0,5.0,4.089416952474277
41,Yes,>5 years,3-5 years,Behavior analysis,,Behavior analyst,,Clinic,,Outside US,Individual private practice,,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,8.0,8.0,0.0,"Training on supervision practices,Supervision Curriculum",,5.0,1-3 candidates,5.0,5.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,5.0,Self,No,I do not supervise RBTs.,4.0,4-7 candidates,5.0,11-15 hours a week,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,No,3.3248407643312103,5.0,Behavior analysis,Behavior analyst,Clinic,Individual private practice,"Internet based continuing education,Conferences or workshops,Individual mentoring","Training on supervision practices,Supervision Curriculum","Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",4.793023255813954,5.0,5.0,5.0,5.0,5.0,5.0,4.8971092601665855
42,Yes,>5 years,>5 years,Behavior analysis,,Behavior analyst,,Other,,South,Individual private practice,,Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops",,10.0,9.0,0.0,Other,None ,5.0,1-3 candidates,5.0,5.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,7-11 clients/consumer,5.0,Self,No,I do not supervise RBTs.,3.0,1-3 candidates,5.0,1-5 hours a week,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Other,Myself,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes,5.0,4.0,Behavior analysis,Behavior analyst,Other,Individual private practice,"Institution based course work,Internet based continuing education,Conferences or workshops",OtherNone,OtherMyself,4.3930232558139535,4.5,4.5,3.4,4.2,4.5,4.75,4.269230769230769
43,Yes,>5 years,3-5 years,Education,,Professor,,University or college,,Northeast,"University,Individual private practice",,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,4.0,2.0,0.0,"Administrative assistance,Monetary compensation,Supervision Curriculum",,4.0,4-7 candidates,5.0,3.0,No,4.441860465116279,4.523255813953488,6-10 hours a week,I do not provide consultation to clients/consumers,5.0,I do not provide consultation to clients/consumers,No,I do not supervise RBTs.,3.0,7-11 candidates,4.0,11-15 hours a week,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,"Graduate course work material,Mentorship,Online CEU training,Published supervision curriculum",,4.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,No,3.3248407643312103,3.0,Education,Professor,University or college,"University,Individual private practice","Internet based continuing education,Conferences or workshops,Individual mentoring","Administrative assistance,Monetary compensation,Supervision Curriculum","Graduate course work material,Mentorship,Online CEU training,Published supervision curriculum",3.9930232558139536,4.75,4.5,4.6,5.0,4.0,4.5,4.243263106320431
45,Yes,>5 years,>5 years,Behavior analysis,,Other,,University or college,,South,University,,Group and Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring",,35.0,20.0,4.0,"Protected office planning time,Administrative assistance,Training on supervision practices,Performance feedback,Monetary compensation",,4.0,4-7 candidates,5.0,5.0,No,4.441860465116279,4.523255813953488,11-15 hours a week,I do not provide consultation to clients/consumers,3.0,Self,No,I do not supervise RBTs.,3.0,12+ candidates,5.0,16+ hours a week,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,"Graduate course work material,Mentorship,Published supervision curriculum",,4.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,Yes,5.0,4.0,Behavior analysis,Other,University or college,University,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring","Protected office planning time,Administrative assistance,Training on supervision practices,Performance feedback,Monetary compensation","Graduate course work material,Mentorship,Published supervision curriculum",4.593023255813954,4.25,4.0,5.0,4.6,4.166666666666667,4.5,4.5
46,Yes,>5 years,>5 years,Education,,Behavior analyst,,Home-based,,South,"Agency,Individual private practice",,Individual fieldwork,"Internet based continuing education,Conferences or workshops",,5.0,5.0,0.0,"Administrative assistance,Training on supervision practices,Monetary compensation",,4.0,1-3 candidates,5.0,2.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,4-7 clients/consumers,4.0,Self,Yes,15% of patient's direct services,2.0,1-3 candidates,5.0,1-5 hours a week,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,"Graduate course work material,Live CEU events,Online CEU training,Published supervision curriculum",,4.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,Yes,5.0,4.0,Education,Behavior analyst,Home-based,"Agency,Individual private practice","Internet based continuing education,Conferences or workshops","Administrative assistance,Training on supervision practices,Monetary compensation","Graduate course work material,Live CEU events,Online CEU training,Published supervision curriculum",4.193023255813953,4.75,4.0,3.4,4.6,4.5,3.25,4.269230769230769
47,Yes,>5 years,>5 years,Behavior analysis,,Behavior analyst,,Clinic,,South,Agency,,Individual fieldwork,"Internet based continuing education,Conferences or workshops",,3.0,3.0,0.0,"Performance feedback,Supervision Curriculum",,5.0,1-3 candidates,5.0,4.0,No,4.441860465116279,4.523255813953488,16+ hours a week,12+ clients/consumers,4.0,I do not provide consultation to clients/consumers,No,I do not supervise RBTs.,4.0,1-3 candidates,5.0,11-15 hours a week,5.0,5.0,5.0,5.0,3.0,4.0,1.0,5.0,5.0,"Graduate course work material,Other",developed one for the company ,5.0,5.0,3.0,5.0,1.0,5.0,4.0,5.0,1.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,Yes,3.0,4.0,Behavior analysis,Behavior analyst,Clinic,Agency,"Internet based continuing education,Conferences or workshops","Performance feedback,Supervision Curriculum","Graduate course work material,Otherdeveloped one for the company",4.3930232558139535,4.75,5.0,3.8,5.0,4.833333333333333,1.5,4.0
48,Yes,3-5 years,3-5 years,Education,,Behavior analyst,,Other,,Northeast,Other,School District ,Individual fieldwork,"Conferences or workshops,Individual mentoring",,2.0,1.0,1.0,"Protected office planning time,Monetary compensation",,3.0,1-3 candidates,4.0,1.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,3.0,Employer,No,I do not supervise RBTs.,1.0,1-3 candidates,2.0,1-5 hours a week,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,2.0,"Mentorship,Live CEU events",,3.0,5.0,1.0,5.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,No,3.3248407643312103,4.0,Education,Behavior analyst,Other,OtherSchool District,"Conferences or workshops,Individual mentoring","Protected office planning time,Monetary compensation","Mentorship,Live CEU events",2.993023255813953,3.75,4.0,3.4,5.0,3.8333333333333335,2.0,3.974032337089662
